crossroadID,crossroadName
100205,人民路与重庆南路交叉口
100353,人民路与温州路交叉口
100031,香港西路与东海一路交叉口
100030,香港西路与太平角六路交叉口
100185,人民路与抚顺路交叉口
100353,人民路与阜新路交叉口
100029,香港西路与太平角四路交叉口
100030,香港西路与太平角六路交叉口
100206,鞍山一路与重庆南路交叉口
100177,鞍山一路与嘉善路交叉口
100248,抚顺路与山东路交叉口
100238,抚顺路与鞍山二路交叉口
100187,嘉善路与人民路交叉口
100177,嘉善路与鞍山一路交叉口
100081,东海西路与五四广场交叉口
100052,东海西路与山东路交叉口
100207,鞍山二路与重庆南路交叉口
100238,鞍山二路与抚顺路交叉口
100244,鞍山二路与鞍山路交叉口
100238,鞍山二路与抚顺路交叉口
100185,抚顺路与人民路交叉口
100238,抚顺路与鞍山二路交叉口
100080,香港中路与市政府交叉口
100059,香港中路与山东路交叉口
100079,台湾路与香港中路交叉口
100077,台湾路与东海中路交叉口
100139,上海路与陵县路交叉口
100138,上海路与馆陶路交叉口
100226,南昌路与德丰路交叉口
100235,南昌路与宜阳路交叉口
100237,南昌路与萍乡路交叉口
100226,南昌路与德丰路交叉口
100210,德丰路与重庆南路交叉口
100226,德丰路与南昌路交叉口
100365,香港中路与云霄路交叉口
100060,香港中路与南京路交叉口
100436,中山路与广西路交叉口
100433,中山路与湖南路交叉口
100188,人民路与嘉定路交叉口
100193,人民路与瑞昌路交叉口
100433,中山路与湖南路交叉口
100436,中山路与广西路交叉口
100442,兰山路与费县路交叉口
100044,兰山路与泰安路交叉口
100080,香港中路与新浦路交叉口
100060,香港中路与南京路交叉口
100062,香港中路与燕儿岛路交叉口
100061,香港中路与福州南路交叉口
100365,香港中路与云霄路交叉口
100061,香港中路与福州南路交叉口
100062,香港中路与燕儿岛路交叉口
100352,香港中路与汕头路交叉口
100029,香港西路与太平角四路交叉口
100027,香港西路与一疗交叉口
100196,南昌路与瑞昌路交叉口
100234,南昌路与清江路交叉口
100209,清江路与重庆南路交叉口
100234,清江路与南昌路交叉口
100510,宁夏路与吴兴路交叉口
100007,宁夏路与南京路交叉口
100352,香港中路与汕头路交叉口
100062,香港中路与燕儿岛路交叉口
100061,香港中路与福州南路交叉口
100062,香港中路与燕儿岛路交叉口
100085,香港中路与澄海一路交叉口
100352,香港中路与汕头路交叉口
100357,绍兴路与辽阳西路交叉口
100498,绍兴路与辽源路交叉口
100498,绍兴路与辽源路交叉口
100357,绍兴路与辽阳西路交叉口
100211,萍乡路与重庆南路交叉口
100237,萍乡路与南昌路交叉口
100162,绍兴路与伊春路交叉口
100498,绍兴路与辽源路交叉口
100498,绍兴路与辽源路交叉口
100162,绍兴路与伊春路交叉口
100213,长沙路与重庆南路交叉口
100222,长沙路与南昌路交叉口
100008,云霄路与闽江路交叉口
100562,云霄路与漳浦路交叉口
100203,洛阳路与四流南路交叉口
100228,洛阳路与商丘路交叉口
100362,福州南路与卫校交叉口
100015,福州南路与宁夏路交叉口
100205,温州路与重庆南路交叉口
100227,温州路与人民路交叉口
100246,哈尔滨路与鞍山路交叉口
100178,哈尔滨路与抚顺路交叉口
100413,中山路与北京路交叉口
100395,中山路与胶州路交叉口
100395,中山路与市场三路交叉口
100413,中山路与北京路交叉口
100371,北京路与河北路交叉口
100413,北京路与中山路交叉口
100178,哈尔滨路与抚顺路交叉口
100246,哈尔滨路与鞍山路交叉口
100045,江苏路与广西路交叉口
100494,江苏路与日照路交叉口
100120,埕口路与华阳路交叉口
100091,埕口路与孟庄路交叉口
100225,台柳路与蚌埠路交叉口
100224,台柳路与合肥路交叉口
100436,广西路与中山路交叉口
